service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RJUN23-801-2_Saturday-19,0,0,0,0,0,1,0,20231209,20231209
RDEC23-801-3_Sunday-90,0,0,0,0,0,0,1,20231210,20231217
RDEC23-801-1_Weekday-03,1,1,1,1,1,0,0,20231211,20231212
RDEC23-801-1_Weekday-90,1,1,1,1,1,0,0,20231213,20231222
RDEC23-801-2_Saturday-90,0,0,0,0,0,1,0,20231216,20231223
RJUN23-802-2_Saturday-91,0,0,0,0,0,1,0,20231209,20231209
RDEC23-802-3_Sunday-08,0,0,0,0,0,0,1,20231210,20231210
RDEC23-802-1_Weekday-08,1,1,1,1,1,0,0,20231211,20231214
RDEC23-802-1_Weekday-90,1,1,1,1,1,0,0,20231215,20231222
RDEC23-802-2_Saturday-90,0,0,0,0,0,1,0,20231216,20231223
RDEC23-802-3_Sunday-90,0,0,0,0,0,0,1,20231217,20231217
RJUN23-803-2_Saturday-10,0,0,0,0,0,1,0,20231209,20231209
RDEC23-803-3_Sunday-02,0,0,0,0,0,0,1,20231210,20231210
RDEC23-803-1_Weekday-03,1,1,1,1,1,0,0,20231211,20231215
RDEC23-803-1_Weekday-02,1,1,1,1,1,0,0,20231212,20231214
RDEC23-803-2_Saturday-90,0,0,0,0,0,1,0,20231216,20231223
RDEC23-803-3_Sunday-90,0,0,0,0,0,0,1,20231217,20231217
RDEC23-803-1_Weekday-90,1,1,1,1,1,0,0,20231218,20231222
RJUN23-804-2_Saturday-29,0,0,0,0,0,1,0,20231209,20231209
RDEC23-804-3_Sunday-90,0,0,0,0,0,0,1,20231210,20231217
RDEC23-804-1_Weekday-12,1,1,1,1,1,0,0,20231211,20231214
RDEC23-804-1_Weekday-90,1,1,1,1,1,0,0,20231213,20231222
RDEC23-804-2_Saturday-90,0,0,0,0,0,1,0,20231216,20231223
RJUN23-807-2_Saturday-90,0,0,0,0,0,1,0,20231209,20231209
RDEC23-807-3_Sunday-90,0,0,0,0,0,0,1,20231210,20231217
RDEC23-807-1_Weekday-90,1,1,1,1,1,0,0,20231211,20231222
RDEC23-807-2_Saturday-90,0,0,0,0,0,1,0,20231216,20231223
