service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RDEC23-801-2_Saturday-06,0,0,0,0,0,1,0,20231230,20231230
RDEC23-801-3_Sunday-03,0,0,0,0,0,0,1,20231231,20231231
RDEC23-801-3_Sunday-04,0,0,0,0,0,0,1,20240101,20240101
RDEC23-801-1_Weekday-02,1,1,1,1,1,0,0,20240102,20240102
RDEC23-801-1_Weekday-11,1,1,1,1,1,0,0,20240103,20240103
RDEC23-801-1_Weekday-12,1,1,1,1,1,0,0,20240104,20240104
RDEC23-801-1_Weekday-13,1,1,1,1,1,0,0,20240105,20240105
RDEC23-801-2_Saturday-90,0,0,0,0,0,1,0,20240106,20240113
RDEC23-801-3_Sunday-90,0,0,0,0,0,0,1,20240107,20240107
RDEC23-801-1_Weekday-90,1,1,1,1,1,0,0,20240108,20240112
RDEC23-802-2_Saturday-90,0,0,0,0,0,1,0,20231230,20240113
RDEC23-802-3_Sunday-11,0,0,0,0,0,0,1,20231231,20231231
RDEC23-802-3_Sunday-12,0,0,0,0,0,0,1,20240101,20240101
RDEC23-802-1_Weekday-12,1,1,1,1,1,0,0,20240102,20240111
RDEC23-802-3_Sunday-90,0,0,0,0,0,0,1,20240107,20240107
RDEC23-802-1_Weekday-90,1,1,1,1,1,0,0,20240112,20240112
RDEC23-803-2_Saturday-02,0,0,0,0,0,1,0,20231230,20240113
RDEC23-803-3_Sunday-05,0,0,0,0,0,0,1,20231231,20231231
RDEC23-803-3_Sunday-06,0,0,0,0,0,0,1,20240101,20240101
RDEC23-803-1_Weekday-03,1,1,1,1,1,0,0,20240102,20240112
RDEC23-803-1_Weekday-04,1,1,1,1,1,0,0,20240103,20240104
RDEC23-803-1_Weekday-02,1,1,1,1,1,0,0,20240105,20240105
RDEC23-803-3_Sunday-03,0,0,0,0,0,0,1,20240107,20240107
RDEC23-804-2_Saturday-90,0,0,0,0,0,1,0,20231230,20240113
RDEC23-804-3_Sunday-01,0,0,0,0,0,0,1,20231231,20231231
RDEC23-804-3_Sunday-06,0,0,0,0,0,0,1,20240101,20240101
RDEC23-804-1_Weekday-17,1,1,1,1,1,0,0,20240102,20240104
RDEC23-804-1_Weekday-18,1,1,1,1,1,0,0,20240105,20240105
RDEC23-804-3_Sunday-90,0,0,0,0,0,0,1,20240107,20240107
RDEC23-804-1_Weekday-90,1,1,1,1,1,0,0,20240108,20240112
RDEC23-807-2_Saturday-90,0,0,0,0,0,1,0,20231230,20240113
RDEC23-807-3_Sunday-02,0,0,0,0,0,0,1,20231231,20231231
RDEC23-807-3_Sunday-03,0,0,0,0,0,0,1,20240101,20240101
RDEC23-807-1_Weekday-90,1,1,1,1,1,0,0,20240102,20240112
RDEC23-807-3_Sunday-90,0,0,0,0,0,0,1,20240107,20240107
